source_instance_id,category,difficulty,fold
CFL_easy_instance_0,CFL_easy_instance,easy,0
CFL_easy_instance_1,CFL_easy_instance,easy,1
CFL_easy_instance_2,CFL_easy_instance,easy,2
CFL_easy_instance_3,CFL_easy_instance,easy,0
CFL_easy_instance_4,CFL_easy_instance,easy,1
CFL_easy_instance_5,CFL_easy_instance,easy,3
CFL_easy_instance_6,CFL_easy_instance,easy,0
CFL_easy_instance_7,CFL_easy_instance,easy,2
CFL_easy_instance_8,CFL_easy_instance,easy,3
CFL_easy_instance_9,CFL_easy_instance,easy,1
CFL_easy_instance_10,CFL_easy_instance,easy,1
CFL_easy_instance_11,CFL_easy_instance,easy,1
CFL_easy_instance_12,CFL_easy_instance,easy,1
CFL_easy_instance_13,CFL_easy_instance,easy,2
CFL_easy_instance_14,CFL_easy_instance,easy,0
CFL_easy_instance_15,CFL_easy_instance,easy,4
CFL_easy_instance_16,CFL_easy_instance,easy,2
CFL_easy_instance_17,CFL_easy_instance,easy,3
CFL_easy_instance_18,CFL_easy_instance,easy,2
CFL_easy_instance_19,CFL_easy_instance,easy,4
CFL_easy_instance_20,CFL_easy_instance,easy,4
CFL_easy_instance_21,CFL_easy_instance,easy,4
CFL_easy_instance_22,CFL_easy_instance,easy,4
CFL_easy_instance_23,CFL_easy_instance,easy,3
CFL_easy_instance_24,CFL_easy_instance,easy,3
CFL_easy_instance_25,CFL_easy_instance,easy,2
CFL_easy_instance_26,CFL_easy_instance,easy,4
CFL_easy_instance_27,CFL_easy_instance,easy,0
CFL_easy_instance_28,CFL_easy_instance,easy,3
CFL_easy_instance_29,CFL_easy_instance,easy,0
CFL_medium_instance_0,CFL_medium_instance,medium,0
CFL_medium_instance_1,CFL_medium_instance,medium,2
CFL_medium_instance_2,CFL_medium_instance,medium,3
CFL_medium_instance_3,CFL_medium_instance,medium,3
CFL_medium_instance_4,CFL_medium_instance,medium,0
CFL_medium_instance_5,CFL_medium_instance,medium,1
CFL_medium_instance_6,CFL_medium_instance,medium,1
CFL_medium_instance_7,CFL_medium_instance,medium,0
CFL_medium_instance_8,CFL_medium_instance,medium,3
CFL_medium_instance_9,CFL_medium_instance,medium,0
CFL_medium_instance_10,CFL_medium_instance,medium,4
CFL_medium_instance_11,CFL_medium_instance,medium,1
CFL_medium_instance_12,CFL_medium_instance,medium,0
CFL_medium_instance_13,CFL_medium_instance,medium,2
CFL_medium_instance_14,CFL_medium_instance,medium,1
CFL_medium_instance_15,CFL_medium_instance,medium,4
CFL_medium_instance_16,CFL_medium_instance,medium,4
CFL_medium_instance_17,CFL_medium_instance,medium,1
CFL_medium_instance_18,CFL_medium_instance,medium,3
CFL_medium_instance_19,CFL_medium_instance,medium,1
CFL_medium_instance_20,CFL_medium_instance,medium,0
CFL_medium_instance_21,CFL_medium_instance,medium,2
CFL_medium_instance_22,CFL_medium_instance,medium,2
CFL_medium_instance_23,CFL_medium_instance,medium,4
CFL_medium_instance_24,CFL_medium_instance,medium,3
CFL_medium_instance_25,CFL_medium_instance,medium,3
CFL_medium_instance_26,CFL_medium_instance,medium,2
CFL_medium_instance_27,CFL_medium_instance,medium,4
CFL_medium_instance_28,CFL_medium_instance,medium,2
CFL_medium_instance_29,CFL_medium_instance,medium,4
CFL_hard_instance_0,CFL_hard_instance,hard,1
CFL_hard_instance_1,CFL_hard_instance,hard,2
CFL_hard_instance_2,CFL_hard_instance,hard,1
CFL_hard_instance_3,CFL_hard_instance,hard,0
CFL_hard_instance_4,CFL_hard_instance,hard,4
CFL_hard_instance_5,CFL_hard_instance,hard,3
CFL_hard_instance_6,CFL_hard_instance,hard,4
CFL_hard_instance_7,CFL_hard_instance,hard,3
CFL_hard_instance_8,CFL_hard_instance,hard,3
CFL_hard_instance_9,CFL_hard_instance,hard,3
CFL_hard_instance_10,CFL_hard_instance,hard,4
CFL_hard_instance_11,CFL_hard_instance,hard,2
CFL_hard_instance_12,CFL_hard_instance,hard,1
CFL_hard_instance_13,CFL_hard_instance,hard,0
CFL_hard_instance_14,CFL_hard_instance,hard,0
CFL_hard_instance_15,CFL_hard_instance,hard,1
CFL_hard_instance_16,CFL_hard_instance,hard,1
CFL_hard_instance_17,CFL_hard_instance,hard,4
CFL_hard_instance_18,CFL_hard_instance,hard,0
CFL_hard_instance_19,CFL_hard_instance,hard,3
CFL_hard_instance_20,CFL_hard_instance,hard,0
CFL_hard_instance_21,CFL_hard_instance,hard,0
CFL_hard_instance_22,CFL_hard_instance,hard,2
CFL_hard_instance_23,CFL_hard_instance,hard,4
CFL_hard_instance_24,CFL_hard_instance,hard,2
CFL_hard_instance_25,CFL_hard_instance,hard,3
CFL_hard_instance_26,CFL_hard_instance,hard,1
CFL_hard_instance_27,CFL_hard_instance,hard,2
CFL_hard_instance_28,CFL_hard_instance,hard,2
CFL_hard_instance_29,CFL_hard_instance,hard,4
