Epoch,BCE_Loss,Accuracy
1,0.19868506595843574,100.0
2,0.1915982450445881,100.0
3,0.1785929596050361,100.0
4,0.1687278976999854,100.0
5,0.156879669859336,100.0
6,0.14676405712270935,100.0
7,0.13217340762336485,100.0
8,0.11825733120895165,100.0
9,0.11046784551460102,100.0
10,0.10000389957122024,100.0
11,0.07587028428694491,100.0
12,0.058271724843886354,100.0
13,0.05263855561232352,100.0
14,0.03537020000457384,100.0
15,0.022938708309273654,100.0
16,0.009819769047074564,100.0
17,0.006385768618921854,100.0
18,0.002880373447283091,100.0
19,0.0008967847084780564,100.0
20,0.0005179467941237211,100.0
21,0.00023844930501581985,100.0
22,0.00010133823210859798,100.0
23,8.413943219428195e-05,100.0
24,5.155827554877609e-05,100.0
25,2.8363736857291617e-05,100.0
26,2.204008847665288e-05,100.0
27,1.9215288098450856e-05,100.0
28,1.7087463961710608e-05,100.0
29,1.3713795887326796e-05,100.0
30,1.3246252724622801e-05,100.0
31,1.2095413339944608e-05,100.0
32,1.0830945157636052e-05,100.0
33,1.0465674337230743e-05,100.0
34,1.0142263767202545e-05,100.0
35,9.622888566577595e-06,100.0
36,9.408152183828141e-06,100.0
37,9.122518185596581e-06,100.0
38,8.753227509335678e-06,100.0
39,8.686277484552344e-06,100.0
40,8.433810255207655e-06,100.0
41,8.268209084209369e-06,100.0
42,8.112709068678706e-06,100.0
43,7.965390893834487e-06,100.0
44,7.824678448879277e-06,100.0
45,7.652814092651283e-06,100.0
46,7.567839449329483e-06,100.0
47,7.476821477799452e-06,100.0
48,7.340543339691881e-06,100.0
49,7.21064194486587e-06,100.0
50,7.0859904486297864e-06,100.0
51,6.933554740425525e-06,100.0
52,6.797092104863604e-06,100.0
53,6.7276002552555765e-06,100.0
54,6.619517397628745e-06,100.0
55,6.545024980653125e-06,100.0
56,6.37429810890211e-06,100.0
57,6.33980693394894e-06,100.0
58,6.173930522675637e-06,100.0
59,6.0836761974769615e-06,100.0
60,6.050055449957625e-06,100.0
61,5.889316113153835e-06,100.0
62,5.802274910760019e-06,100.0
63,5.715211169506536e-06,100.0
64,5.654245031886755e-06,100.0
65,5.58871808816382e-06,100.0
66,5.464207260293581e-06,100.0
67,5.377841657772109e-06,100.0
68,5.2705803407585945e-06,100.0
69,5.242172158581582e-06,100.0
70,5.10624017069361e-06,100.0
71,5.0789634014059e-06,100.0
72,4.948411323664932e-06,100.0
73,4.922313188604477e-06,100.0
74,4.816791294418958e-06,100.0
75,4.743212848268286e-06,100.0
76,4.6515339816958585e-06,100.0
77,4.605379248771395e-06,100.0
78,4.514776169806112e-06,100.0
79,4.4908856538701985e-06,100.0
80,4.3763303632834054e-06,100.0
81,4.353330204912946e-06,100.0
82,4.260265634936644e-06,100.0
83,4.214019191521127e-06,100.0
84,4.122853152654926e-06,100.0
85,4.077046604914851e-06,100.0
86,3.971195457660078e-06,100.0
87,3.930414987548166e-06,100.0
88,3.849822008887098e-06,100.0
89,3.792059591223307e-06,100.0
90,3.75129464158519e-06,100.0
91,3.6714476895719863e-06,100.0
92,3.6314795528458177e-06,100.0
93,3.5883450883270975e-06,100.0
94,3.5057343749459826e-06,100.0
95,3.432525548685561e-06,100.0
96,3.4130677158591047e-06,100.0
97,3.33413332942456e-06,100.0
98,3.2786362732147487e-06,100.0
99,3.240030716611386e-06,100.0
100,3.1511325249885167e-06,100.0
