epoch,train_loss,val_loss,val_accuracy
1,4.812171357835448e-06,2.4836231402688376e-06,66.5242
2,4.613173172570938e-06,2.3941745736089577e-06,49.9879
3,4.602508446158365e-06,2.4013228856189097e-06,95.6711
4,4.610227052728797e-06,2.399765988862466e-06,87.0678
5,4.604138802130555e-06,2.3958584832776664e-06,63.4260
6,4.6074915633991706e-06,2.3986348937994437e-06,82.8526
7,4.608856059264305e-06,2.4038920895216744e-06,87.8307
8,4.605660864780116e-06,2.402641415676993e-06,46.2695
9,4.60154788438664e-06,2.400813568585917e-06,99.6735
10,4.6028132918615674e-06,2.4187941997534717e-06,99.9999
11,4.604024011208568e-06,2.3961903302140697e-06,65.1464
12,4.604546526490256e-06,2.398539990004476e-06,97.7170
