epoch,train_loss,val_loss,val_accuracy,val_f1
1,4.764071622085519e-06,2.40616121454482e-06,99.9261,0.9998
2,4.619250001607809e-06,2.410232024475511e-06,99.9998,1.0000
3,4.610811177551727e-06,2.3993587653901316e-06,99.9998,1.0000
4,4.615997526539209e-06,2.4028242954752543e-06,99.9998,1.0000
5,4.613609808220539e-06,2.400504704308767e-06,52.1553,0.8882
6,4.611892348764233e-06,2.3941821226621274e-06,96.0083,0.9915
7,4.60753348872543e-06,2.3991381990230285e-06,99.9998,1.0000
8,4.6044111636705946e-06,2.4002882173837623e-06,99.9998,1.0000
9,4.610852362525504e-06,2.3958760064972564e-06,99.3412,0.9986
10,4.607805129015021e-06,2.4088978457949333e-06,99.9969,1.0000
11,4.607492661270319e-06,2.3933853707030326e-06,46.3109,0.8729
12,4.601119193794571e-06,2.4072102975295544e-06,99.9998,1.0000
13,4.606192479106836e-06,2.4006806183167653e-06,99.9998,1.0000
14,4.603396817713495e-06,2.4026931818046093e-06,99.9998,1.0000
15,4.60858972544006e-06,2.3929323147527888e-06,46.2751,0.8728
16,4.604459905249843e-06,2.3999549845800927e-06,99.9953,1.0000
17,4.604436964303543e-06,2.398183277161637e-06,99.9998,1.0000
18,4.601482309950835e-06,2.4021986159477424e-06,99.9998,1.0000
