bin_index,lower_bound,upper_bound,count,mean_probability,positive_fraction
0,0.0,0.1,3177285,0.0004625230836434095,9.44202361450106e-07
1,0.1,0.2,7696,0.143990769851643,0.00038981288981288983
2,0.2,0.3,4873,0.24673067273030455,0.0014364867638005335
3,0.3,0.4,2654,0.34461331815538143,0.0015071590052750565
4,0.4,0.5,1894,0.44863338995067975,0.004223864836325237
5,0.5,0.6,2216,0.5579173526716577,0.004963898916967509
6,0.6,0.7,2804,0.6506260883876158,0.005706134094151213
7,0.7,0.8,2918,0.7484573347875727,0.009938313913639479
8,0.8,0.9,3644,0.8548355748637709,0.016739846322722282
9,0.9,1.0,16816,0.9704253093138351,0.21592530922930542
